Datetime,Open,High,Low,Close,Volume,1,2,3,4,5,6
1632567600000,42665.99,42665.99,42449.33,42455.82,1750.437,1632567899999,74422848.11341,15735,614.508,26129593.56726,0
1632567900000,42455.83,42532.78,42215.67,42333.18,3176.044,1632568199999,134502052.65292,26745,1515.922,64204354.40534,0
1632568200000,42333.17,42450.22,42213.51,42410.15,1679.307,1632568499999,71120966.16983,15784,1007.428,42678433.51211,0
1632568500000,42410.15,42469.16,42335.94,42394.75,992.539,1632568799999,42094553.62051,10783,476.098,20194395.39402,0
1632568800000,42394.75,42416.30,42288.37,42319.28,828.913,1632569099999,35093323.28533,9049,338.685,14338934.62954,0
1632569100000,42319.29,42400.00,42250.05,42350.50,949.522,1632569399999,40183056.89391,9642,492.930,20863724.62132,0
1632569400000,42350.49,42466.07,42350.00,42399.83,1241.337,1632569699999,52664884.79199,10614,802.321,34040075.89281,0
1632569700000,42399.84,42456.04,42300.57,42327.50,1418.527,1632569999999,60076045.02277,9282,913.910,38703143.61772,0
1632570000000,42327.01,42387.96,42300.59,42317.82,419.143,1632570299999,17743176.57366,6171,212.862,9011708.68183,0
1632570300000,42317.82,42429.27,42310.92,42372.03,642.460,1632570599999,27236266.00614,7068,380.539,16132893.00009,0
1632570600000,42372.02,42447.96,42340.16,42390.74,464.122,1632570899999,19680159.85495,5509,240.011,10178351.92151,0
1632570900000,42390.74,42540.54,42367.11,42472.89,1249.105,1632571199999,53047155.17591,10132,867.122,36828584.57033,0
1632571200000,42472.89,42611.77,42409.49,42424.41,1460.761,1632571499999,62092523.73833,14731,695.330,29566699.56443,0
1632571500000,42428.35,42617.34,42404.00,42523.58,1030.230,1632571799999,43780796.93066,11264,569.940,24220973.07777,0
1632571800000,42523.59,42564.00,42442.93,42452.11,1059.875,1632572099999,45050388.46743,8616,341.651,14524770.93046,0
1632572100000,42452.06,42460.15,42291.12,42370.98,1508.127,1632572399999,63877543.39430,14323,577.890,24472830.74399,0
1632572400000,42370.98,42400.00,42276.00,42396.47,807.465,1632572699999,34191120.31496,8367,425.023,17997615.00070,0
1632572700000,42396.47,42541.42,42322.99,42475.72,982.799,1632572999999,41722534.40358,9737,629.905,26738259.95066,0
1632573000000,42475.72,42527.47,42400.11,42516.79,600.556,1632573299999,25498865.33429,7022,299.778,12728928.15079,0
1632573300000,42516.80,42516.80,42325.89,42411.43,767.597,1632573599999,32537733.57840,7729,312.588,13248427.60030,0
1632573600000,42411.43,42468.43,42324.14,42423.02,751.420,1632573899999,31842381.09160,7174,479.937,20338283.13855,0
1632573900000,42423.02,42440.00,42311.00,42420.86,747.654,1632574199999,31675309.36610,6526,317.627,13459333.04193,0
1632574200000,42423.21,42423.21,42305.08,42345.83,575.106,1632574499999,24351331.96504,6517,259.996,11007835.95055,0
1632574500000,42345.83,42375.64,42296.34,42330.14,465.164,1632574799999,19695952.79830,6081,253.123,10718252.19813,0
1632574800000,42330.00,42404.43,42223.00,42392.54,1311.310,1632575099999,55472272.26619,13359,676.444,28622178.59425,0
1632575100000,42392.46,42638.47,42383.22,42615.46,2154.919,1632575399999,91588914.60435,18651,1343.474,57106484.91420,0
1632575400000,42612.05,42743.44,42518.94,42664.84,1945.776,1632575699999,82921879.98806,17528,1014.006,43225373.63443,0
1632575700000,42664.84,42715.00,42576.57,42611.60,1375.839,1632575999999,58669568.98946,11734,526.063,22434500.65851,0
1632576000000,42611.60,42698.00,42553.39,42688.84,868.343,1632576299999,37013129.55067,8681,487.559,20785854.38378,0
1632576300000,42687.41,42692.20,42536.27,42538.42,1235.658,1632576599999,52666392.65506,8122,366.738,15632614.29840,0
